year,id,sent,msgType,event_text,event_code,matched_keyword,snippet
2015,8b389285-18d6-41a0-b777-62440312992a,2015-09-05T17:28:01.000Z,Alert,Law Enforcement Warning,LEW,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>AS-ND-51bb71bf-2e4a-4397-85b2-7eafb957b21f</identifier><sender>krockvoy@co.mckenzie.nd.us</sender><sent>2015-09-05T11:28:01-06:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><info"
2015,c93e165b-7f7c-44e5-a516-a9014271bae4,2015-10-18T07:48:21.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MI.001_49_2015-10-18T03:48:21-04:00</identifier><sender>EMnet-MI.001</sender><sent>2015-10-18T03:48:21-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>MI.001_49_2015-10-18T03:48:21-04:00</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</l"
2015,c33afcdf-d589-429c-80d2-5843cd4952da,2015-11-23T18:16:30.000Z,Alert,Missing Person,LAE,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>5535556620151023101630</identifier><sender>coffeyville-police-department@nixle.com</sender><sent>2015-11-23T10:16:30-08:00</sent><status>Actual</status><msgType>Alert</msgType><source>Nixle</source><scope>Public</scope><addresses>020125</addresses><code>IPAWSv1.0</code><info><lang"
2015,27d03dd5-8a6e-4114-8756-e7aed5c97df0,2015-11-23T18:55:55.000Z,Alert,Missing Person,LAE,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>5535583620151023105555</identifier><sender>coffeyville-police-department@nixle.com</sender><sent>2015-11-23T10:55:55-08:00</sent><status>Actual</status><msgType>Alert</msgType><source>Nixle</source><scope>Public</scope><addresses>020125</addresses><code>IPAWSv1.0</code><info><lang"
2016,84567c82-fce0-40c4-b379-8e18df595c16,2016-01-19T12:24:58.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MI.001_65_2016-01-19T07:24:58-05:00</identifier><sender>EMnet-MI.001</sender><sent>2016-01-19T07:24:58-05:00</sent><status>Actual</status><msgType>Alert</msgType><source>MI.001_65_2016-01-19T07:24:58-05:00</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</l"
2016,78161970-ad89-41b8-8258-e06c65b7ac27,2016-01-19T16:20:21.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MI.001_67_2016-01-19T11:20:21-05:00</identifier><sender>EMnet-MI.001</sender><sent>2016-01-19T11:20:21-05:00</sent><status>Actual</status><msgType>Alert</msgType><source>MI.001_67_2016-01-19T11:20:21-05:00</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</l"
2016,785f0f9d-2d28-44f8-8bb0-f80d41c26777,2016-01-28T03:43:24.000Z,Alert,Local Area Emergency,LAE,alzheimer,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>89D28FBA-8246-4A69-934B-D63764AA7EFF</identifier><sender>com.eyestreet.cap.jdunfeegem@gmail.com</sender><sent>2016-01-27T22:43:24-05:00</sent><status>Actual</status><msgType>Alert</msgType><source></source><scope>Public</scope><addresses>200344</addresses><code>IPAWSv1.0</code><no"
2016,fce030ff-7b12-4c74-9c5e-eed382daef79,2016-02-18T00:42:32.000Z,Alert,Local Area Emergency,LAE,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>156b3433-3522-47d9-9494-3cf79979214c</identifier><sender>vpowell@co.henry.va.us</sender><sent>2016-02-17T19:42:32-05:00</sent><status>Actual</status><msgType>Alert</msgType><source>COG IPAWSOPEN200859</source><scope>Public</scope><addresses>200859 </addresses><code>IPAWSv1.0</code"
2016,c3fc94e0-10a6-4c52-9d3e-f178aeec08e6,2016-03-02T00:01:42.000Z,Alert,Child Abduction Emergency,CAE,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_11886_1</identifier><sender>amberops@ncmec.org</sender><sent>2016-03-01T19:01:42-05:00</sent><status>Actual</status><msgType>Alert</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Other</category><event>Child "
2016,a4d1dd35-9c68-41dd-a472-38d0a4540a2b,2016-03-02T02:57:59.000Z,Cancel,Child Abduction Emergency,CAE,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_11886_2</identifier><sender>amberops@ncmec.org</sender><sent>2016-03-01T21:57:59-05:00</sent><status>Actual</status><msgType>Cancel</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><references>amberops@ncmec.org,NCMEC_11886_1,2016-03-01T21:57:59-05:00"
2016,d2746550-0314-4dc5-8066-f6eb9aad762d,2016-03-23T14:33:54.000Z,Alert,Civil Emergency Message,CEM,silver alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>TN.626_190_2016-03-23T09:33:54-05:00</identifier><sender>EMnet-TN.626</sender><sent>2016-03-23T10:33:54-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>TN.626_190_2016-03-23T09:33:54-05:00</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US<"
2016,85430cad-6374-4ede-9279-5691e5edf458,2016-04-24T00:50:03.000Z,Alert,Civil Emergency Message,CEM,missing elderly,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>AS-WI-6fc754bb-9122-4885-b5a2-2bc0f5c1772a</identifier><sender>jennis@co.walworth.wi.us</sender><sent>2016-04-23T18:50:03-06:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><info><"
2016,743ee835-2881-4f55-a6ba-34e4d3acb390,2016-05-16T11:39:44.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MI.000_235_2016-05-16T07:39:44-04:00</identifier><sender>EMnet-MI.000</sender><sent>2016-05-16T07:39:44-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>MI.000_235_2016-05-16T07:39:44-04:00</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US<"
2016,1eac6967-24a1-45b9-be09-ee3bd29ebb8a,2016-05-16T11:48:37.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_11990_1</identifier><sender>amberops@ncmec.org</sender><sent>2016-05-16T07:48:37-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Other</category><event>Child "
2016,b95a2a0a-8475-44e1-ba10-b5ce42f39b6e,2016-05-16T12:49:51.000Z,Cancel,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_11990_2</identifier><sender>amberops@ncmec.org</sender><sent>2016-05-16T08:49:51-04:00</sent><status>Actual</status><msgType>Cancel</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><references>amberops@ncmec.org,NCMEC_11990_1,2016-05-16T08:49:51-04:00"
2016,cc15f6c5-e751-4170-88c3-bee4bb852667,2016-06-15T08:12:53.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MI.000_250_2016-06-15T04:12:53-04:00</identifier><sender>EMnet-MI.000</sender><sent>2016-06-15T04:12:53-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>MI.000_250_2016-06-15T04:12:53-04:00</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US<"
2016,a134f9e9-c1a1-4de8-a0ff-56cb64f626e6,2016-06-16T16:54:44.000Z,Alert,Endangered Missing Person,LAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>219a2a48-9823-4ed7-8073-ea1e19d52c34</identifier><sender>ClaiborneCountyEMA</sender><sent>2016-06-16T11:54:44-05:00</sent><status>Actual</status><msgType>Alert</msgType><source>WebEOC</source><scope>Public</scope><addresses>200067</addresses><code>IPAWSv1.0</code><info><language>e"
2016,5f56930d-386e-4334-aa9d-2394f44bfc73,2016-06-28T23:16:06.000Z,Alert,Child Abduction Emergency,CAE,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>7a4970d2dff33818d18c140ddc5abee90000c4af96c510b5360d0498ba80c18a3238</identifier><sender>missingisp.state.il.us</sender><sent>2016-06-28T16:16:06-07:00</sent><status>Actual</status><msgType>Alert</msgType><source>AmberAlert.com</source><scope>Public</scope><code>IPAWSv1.0</code><i"
2016,33d49363-0036-4570-8577-1ffb61e1fd4c,2016-09-14T14:27:00.000Z,Alert,CIVIL EMERGENCY MESSAGE,CEM,golden alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>CAPNET-0-316-20160914102700</identifier><sender>MADEOC@192.168.6.240</sender><sent>2016-09-14T10:27:00-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>MADEOC</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Safety</cat"
2016,26966163-60ec-4574-9d9b-1152d1b49609,2016-10-10T00:53:29.000Z,Alert,Administrative Message,ADR,silver alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>AS-NV-b7fe67ad-c639-4a29-bb38-b7038c4b691c</identifier><sender>twalker@dps.state.nv.us</sender><sent>2016-10-09T18:53:29-06:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><info><l"
2016,7cb93a84-bc0a-4cd6-9b7a-5d4a7f493022,2016-11-20T03:06:35.000Z,Alert,Administrative Message,ADR,silver alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>AS-NV-81048331-7467-4ae0-8360-0e0f95dd5fa5</identifier><sender>bbrundage@dps.state.nv.us</sender><sent>2016-11-19T20:06:35-07:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><info>"
2016,53be5ab2-2d8e-48f7-b156-0a8ed1e8fca4,2016-12-22T15:14:00.000Z,Alert,LOCAL AREA EMERGENCY,LAE,golden alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>CAPNET-0-325-20161222101400</identifier><sender>MADEOC@192.168.6.240</sender><sent>2016-12-22T10:14:00-05:00</sent><status>Actual</status><msgType>Alert</msgType><source>MADEOC</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Safety</cat"
2017,1f045b50-51da-4c61-a00f-6ed9d5bb9f16,2017-03-19T22:45:31.000Z,Alert,Local Area Emergency,LAE,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>IPAWSOPEN_200077_2017-03-19T18:45:302017219184531</identifier><sender>IPAWSOPEN_200077</sender><sent>2017-03-19T18:45:31-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>WENS IPAWS</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><note>WE"
2017,fd3cc539-17b2-4437-afed-4e5e7218a465,2017-03-20T13:32:39.000Z,Alert,Local Area Emergency,LAE,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>IPAWSOPEN_200077_2017-03-20T09:32:38201722093239</identifier><sender>IPAWSOPEN_200077</sender><sent>2017-03-20T09:32:39-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>WENS IPAWS</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><note>WEN"
2017,1b318747-3436-440c-bbc3-4a63d1ba2ba2,2017-04-21T10:21:27.000Z,Alert,Administrative Message,ADR,silver alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>AS-NV-fabaffe3-324d-49fc-919a-be8122fc5fc2</identifier><sender>twalker@dps.state.nv.us</sender><sent>2017-04-21T04:21:27-06:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><info><l"
2017,494cbfad-b09b-49c7-893d-a97bc697f885,2017-10-26T19:34:50.000Z,Alert,Local Area Emergency,LAE,missing endangered,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>ASHERGROUP-460127-post-1509046490</identifier><sender>ASHERGROUP</sender><sent>2017-10-26T15:34:50-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>WordenR</source><scope>Public</scope><addresses>200644 200194</addresses><code>IPAWSv1.0</code><info><language>en-U"
2017,59460f06-b759-4347-a25b-7063a47a893b,2017-11-08T21:38:51.000Z,Alert,Law Enforcement Warning,LEW,golden alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>AS-KY-7844e1b7-14ab-4f40-a2dd-8620266bd4e3</identifier><sender>msaunders@boydcounty911.com</sender><sent>2017-11-08T14:38:51-07:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><inf"
2017,406bf8e3-fe3b-4a85-8cdc-7177f73ff475,2017-11-09T19:38:03.000Z,Alert,Law Enforcement Warning,LEW,golden alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>AS-KY-92bdd96a-a5d9-4901-b0f6-f92e59b69f1f</identifier><sender>msaunders@boydcounty911.com</sender><sent>2017-11-09T12:38:03-07:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><inf"
2017,dd25c610-7cce-47eb-8e06-1fa76c832243,2017-11-25T18:28:33.000Z,Alert,LAW ENFORCEMENT 73 YOA MISSING PERSON,LEW,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>eace8e1a-b548-4613-8d2b-1803b61a49c0</identifier><sender>HAMILTONCOUNTYEMERGENCYNOTIFICATIONSYSTEM</sender><sent>2017-11-25T13:28:33-05:00</sent><status>Actual</status><msgType>Alert</msgType><source>WebEOC</source><scope>Public</scope><addresses>200635</addresses><code>IPAWSv1.0<"
2017,7f6b0f61-a2ed-4430-8a19-3e4ee3ee5612,2017-12-06T17:22:06.000Z,Alert,Local Area Emergency,LAE,golden alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>D7E4BC0B-8924-4A9B-B410-1AC2F3D2218B</identifier><sender>OTG:jdunfeegem@gmail.com</sender><sent>2017-12-06T12:22:06-05:00</sent><status>Actual</status><msgType>Alert</msgType><source></source><scope>Public</scope><addresses>200344</addresses><code>IPAWSv1.0</code><note></note><inf"
2017,3d80dac2-d80d-4b46-9b3c-be9580a516b4,2017-12-06T17:32:44.000Z,Alert,Local Area Emergency,LAE,golden alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>E7489CFA-5937-4E1E-B642-DC754222FFEB</identifier><sender>OTG:jdunfeegem@gmail.com</sender><sent>2017-12-06T12:32:44-05:00</sent><status>Actual</status><msgType>Alert</msgType><source></source><scope>Public</scope><addresses>200344</addresses><code>IPAWSv1.0</code><note></note><inf"
2017,c17c6040-84a3-462c-830f-19391591c591,2017-12-07T13:33:19.000Z,Alert,Local Area Emergency,LAE,golden alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>03EDDD78-42C5-4CE6-843A-26FBE4E6000C</identifier><sender>OTG:jdunfeegem@gmail.com</sender><sent>2017-12-07T08:33:19-05:00</sent><status>Actual</status><msgType>Alert</msgType><source></source><scope>Public</scope><addresses>200344</addresses><code>IPAWSv1.0</code><note></note><inf"
2018,e5244543-46b9-4595-ae28-4cc7b5c67b5f,2018-01-13T15:19:05.000Z,Cancel,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_30046_2</identifier><sender>amberops@ncmec.org</sender><sent>2018-01-13T10:19:05-05:00</sent><status>Actual</status><msgType>Cancel</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><references>amberops@ncmec.org,NCMEC_30046_1,2018-01-13T10:19:05-05:00"
2018,59d3df5d-6847-45e1-8773-3e2becf919ff,2018-04-01T12:20:52.000Z,Alert,Civil Emergency Message,CEM,missing elderly,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>9c9af6bc-9ac1-8a81-778a-ea61b1075d0c</identifier><sender>TN-BlountCounty</sender><sent>2018-04-01T08:20:52-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>TN-BlountCounty</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><categor"
2018,6bfbc190-dbf9-4690-8075-0658a06cb8e8,2018-04-22T20:18:30.000Z,Alert,Civil Emergency Message,CEM,silver alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>8101205968727262</identifier><sender>8101205968727262</sender><sent>2018-04-22T13:18:30-07:00</sent><status>Actual</status><msgType>Alert</msgType><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Rescue</category><event>Civil Emergency Message</"
2018,23f8ef96-d7bf-409d-a6f2-66235b9ceae7,2018-04-22T21:07:25.000Z,Alert,Civil Emergency Message,CEM,silver alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>8101205968727305</identifier><sender>8101205968727305</sender><sent>2018-04-22T14:07:25-07:00</sent><status>Actual</status><msgType>Alert</msgType><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Rescue</category><event>Civil Emergency Message</"
2018,2b437198-6a11-4723-b146-aa3dae80880a,2018-06-23T23:55:45.000Z,Alert,Civil Emergency Message,CEM,silver alert,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>8114400108339503</identifier><sender>8114400108339503</sender><sent>2018-06-23T16:55:45-07:00</sent><status>Actual</status><msgType>Alert</msgType><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Rescue</category><event>Civil Emergency Message</"
2018,84bbf8e6-a38d-4ab8-a2d8-40c229ac6565,2018-06-24T00:10:30.000Z,Alert,Civil Emergency Message,CEM,missing elderly,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>8114400108339518</identifier><sender>8114400108339518</sender><sent>2018-06-23T17:10:30-07:00</sent><status>Actual</status><msgType>Alert</msgType><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Safety</category><event>Civil Emergency Message</"
2018,26276830-266e-402a-b576-5384bcc5d1e9,2018-06-24T15:14:25.000Z,Alert,Civil Emergency Message,CEM,missing elderly,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>8096807922299787</identifier><sender>8096807922299787</sender><sent>2018-06-24T08:14:25-07:00</sent><status>Actual</status><msgType>Alert</msgType><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Safety</category><event>Civil Emergency Message</"
